name,roll_no,branch,year
Ananya Mishra,CSE1001,CSE,1
Samira Acharya,CSE1002,CSE,1
Shaurya Agarwal,CSE1003,CSE,1
Pooja Sen,CSE1004,CSE,1
Mohan Kashyap,CSE1005,CSE,1
Diya Gandhi,CSE1006,CSE,1
Amaya Kapoor,CSE1007,CSE,1
Ira Desai,CSE1008,CSE,1
Harsha Saxena,CSE1009,CSE,1
Deepak Thakur,CSE1010,CSE,1
Janaki Upadhyay,CSE1011,CSE,1
Aisha Kulkarni,CSE1012,CSE,1
Yash Agarwal,CSE1013,CSE,1
Janaki Nambiar,CSE1014,CSE,1
Pooja Joshi,CSE1015,CSE,1
Tara Hiremath,CSE1016,CSE,1
Saanvi Lohia,CSE1017,CSE,1
Kavya Yadav,CSE1018,CSE,1
Mehul Basu,CSE1019,CSE,1
Ira Jain,CSE1020,CSE,1
Ishaan Patel,CSE1021,CSE,1
Karan Dutta,CSE1022,CSE,1
Yug Verma,CSE1023,CSE,1
Komal Nambiar,CSE1024,CSE,1
Dev Shetty,CSE1025,CSE,1
Anika Rastogi,CSE1026,CSE,1
Deepak Malhotra,CSE1027,CSE,1
Rakesh Shetty,CSE1028,CSE,1
Advait Nair,CSE1029,CSE,1
Ishaan Varghese,CSE1030,CSE,1
Farhan Nambiar,CSE1031,CSE,1
Ojas Pillai,CSE1032,CSE,1
Qadir Sridhar,CSE1033,CSE,1
Arjun Mahajan,CSE1034,CSE,1
Vineet Iyer,CSE1035,CSE,1
Zeenat Shah,CSE1036,CSE,1
Avni Jain,CSE1037,CSE,1
Aruna Sridhar,CSE1038,CSE,1
Gauri Shah,CSE1039,CSE,1
Neel Srivastava,CSE1040,CSE,1
Pavan Kashyap,CSE1041,CSE,1
Zoya Thakur,CSE1042,CSE,1
Aruna Saxena,CSE1043,CSE,1
Aruna Ghosh,CSE1044,CSE,1
Karan Verma,CSE1045,CSE,1
Harsha Hiremath,CSE1046,CSE,1
Latha Fernandes,CSE1047,CSE,1
Sahil Kapoor,CSE1048,CSE,1
Jai Trivedi,CSE1049,CSE,1
Qadir Verma,CSE1050,CSE,1
Varun Naidu,ECE1001,ECE,1
Irfan Dixit,ECE1002,ECE,1
Riya Patel,ECE1003,ECE,1
Samar Pandey,ECE1004,ECE,1
Sanya Venkatesh,ECE1005,ECE,1
Diya Fernandes,ECE1006,ECE,1
Varun Lal,ECE1007,ECE,1
Mohan Acharya,ECE1008,ECE,1
Mohan Gupta,ECE1009,ECE,1
Farhan Lal,ECE1010,ECE,1
Mira Rao,ECE1011,ECE,1
Zubin Sridhar,ECE1012,ECE,1
Krishna Mahajan,ECE1013,ECE,1
Latha Iyer,ECE1014,ECE,1
Farhan Mishra,ECE1015,ECE,1
Avni Sinha,ECE1016,ECE,1
Dhruv Sinha,ECE1017,ECE,1
Uday Devaraj,ECE1018,ECE,1
Vineet Dutta,ECE1019,ECE,1
Karan Ojha,ECE1020,ECE,1
Manav Thakur,ECE1021,ECE,1
Ishaan Hegde,ECE1022,ECE,1
Latha Khan,ECE1023,ECE,1
Bhavya Khan,ECE1024,ECE,1
Shreya Mahajan,ECE1025,ECE,1
Ira Qureshi,ECE1026,ECE,1
Wasim Yadav,ECE1027,ECE,1
Nisha Iyer,ECE1028,ECE,1
Chaitra Desai,ECE1029,ECE,1
Zara Basu,ECE1030,ECE,1
Naina Khan,ECE1031,ECE,1
Tanvi Kulkarni,ECE1032,ECE,1
Qadir Zaveri,ECE1033,ECE,1
Pranav Patel,ECE1034,ECE,1
Ritul Thakur,ECE1035,ECE,1
Jaya Sharma,ECE1036,ECE,1
Ishan Agarwal,ECE1037,ECE,1
Chaitra Singh,ECE1038,ECE,1
Anish Iyer,ECE1039,ECE,1
Yamini Srivastava,ECE1040,ECE,1
Avni Wagh,ECE1041,ECE,1
Bharat Chopra,ECE1042,ECE,1
Nandini Pillai,ECE1043,ECE,1
Karan Patel,ECE1044,ECE,1
Farhan Mahajan,ECE1045,ECE,1
Chaitra Nambiar,ECE1046,ECE,1
Tanvi Devaraj,ECE1047,ECE,1
Pranav Fernandes,ECE1048,ECE,1
Charan Zhao,ECE1049,ECE,1
Vikram Ghosh,ECE1050,ECE,1
Advait Hiremath,CSM1001,CSM,1
Shreya Rastogi,CSM1002,CSM,1
Pavan Gopalakrishnan,CSM1003,CSM,1
Divya Mehta,CSM1004,CSM,1
Charan Rastogi,CSM1005,CSM,1
Aditi Xavier,CSM1006,CSM,1
Gopal Rastogi,CSM1007,CSM,1
Gauri Rastogi,CSM1008,CSM,1
Qadir Uttam,CSM1009,CSM,1
Akash Verma,CSM1010,CSM,1
Deepak Lohia,CSM1011,CSM,1
Farhan Shah,CSM1012,CSM,1
Ishan Kulkarni,CSM1013,CSM,1
Ira Kapoor,CSM1014,CSM,1
Kiara Joshi,CSM1015,CSM,1
Veda Kulkarni,CSM1016,CSM,1
Neel Iyengar,CSM1017,CSM,1
Advait Jain,CSM1018,CSM,1
Om Mahajan,CSM1019,CSM,1
Pavan Joshi,CSM1020,CSM,1
Kiara Sridhar,CSM1021,CSM,1
Prithvi Mehta,CSM1022,CSM,1
Samira Chakraborty,CSM1023,CSM,1
Lakshya Shah,CSM1024,CSM,1
Lakshya Yadav,CSM1025,CSM,1
Gopal Zhao,CSM1026,CSM,1
Ayaan Mishra,CSM1027,CSM,1
Shreya Varghese,CSM1028,CSM,1
Deepak Ojha,CSM1029,CSM,1
Pari Iyengar,CSM1030,CSM,1
Gauri Pillai,CSM1031,CSM,1
Tushar Varghese,CSM1032,CSM,1
Yash Jain,CSM1033,CSM,1
Vani Zaveri,CSM1034,CSM,1
Meera Pandey,CSM1035,CSM,1
